dir,env_name,actor_update_mode,seed,seed_index,action_dim,action_pad,obs_dim,critic_obs_dim,estep_num_samples,eps_e,alpha_entropy,alpha_kl,gamma,lmbda,time_steps,iteration,checkpoint_frac,final_eval_return,ess_final,ess_degenerate,nan_in_eval,normalize_env,train_seconds,hydra_run_dir,files_present,n_missing,bytes_total,mtime_utc,sha256_actor,sha256_critic,sha256_meta,sha256_normalizer
exports/G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,0,29,0,103,103,32,0.5,0.00020752238924615085,0.004297551233321428,0.97,0.95,52297728,399,1.0,29.791976928710938,0.0,False,False,True,2463.1763825980015,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/conf/g1_A_s101,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396634,2026-09-01T10:31:07Z,e174854b24c642523bc327258964f838b6de8c849582b049d5233386709e3528,345161354456b678faf1e63cd4fe34f59e5fceb88b74394097d8e7a4f5494ca7,2a6a0750dde340e774cf4e4d116b0b819a1608250fe64f4a2a485e79c84a26c0,f93278e39f28eb09b6e1a8539272e694548d7717f0b1b978cc402d836137d608
exports/G1JoystickFlatTerrain_pathwise_fa_s102_final,G1JoystickFlatTerrain,pathwise,102,0,29,0,103,103,32,0.5,0.00020752238924615085,0.004399615805596113,0.97,0.95,52297728,399,1.0,28.134492874145508,0.0,False,False,True,2465.5587867959985,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/conf/g1_A_s102,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396643,2026-09-01T10:37:55Z,7add8993455751e107f90d6080fee4bcba91afe76fb5bb30d4233e0ff6af92fd,21375802d7bd0000f9c2839ccee8ef6b07984968c716e7b59c352526b31fc687,0d6af8f55d41ab4b0175d3211e155890a968001b97aa26c804202d5b45aa9084,b4acf270468290530548e60a544637c5e4f50f62deb396b1e4dba0c9d8546ac7
exports/G1JoystickFlatTerrain_pathwise_fa_s103_final,G1JoystickFlatTerrain,pathwise,103,0,29,0,103,103,32,0.5,0.00020752238924615085,0.0045029898174107075,0.97,0.95,52297728,399,1.0,33.471954345703125,0.0,False,False,True,2467.768258511991,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/conf/g1_A_s103,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396644,2026-09-01T10:50:48Z,1e54fb46c685a20e9e7a729dc23caa534c1ec197de910f26508439f662d033e0,c2fcf1993ab0a2fa8a3c11a80f68fd40af7c4f1db0d7a0a6370c6ef290ea4a93,8c9d75f9d5ce9e2200a27be19ecb7ba75a9c3612ec6d63551298cd88a252364d,87ee1f8237b3ad83d27dc2c2c8b1dcc27b2ba473412d22adf57e88820a7ffa36
exports/G1JoystickFlatTerrain_pathwise_fa_s104_final,G1JoystickFlatTerrain,pathwise,104,0,29,0,103,103,32,0.5,0.00020752238924615085,0.004470768850296736,0.97,0.95,52297728,399,1.0,29.318801879882812,0.0,False,False,True,2454.9731620069942,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/conf/g1_A_s104,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396632,2026-09-01T10:56:22Z,5ecc76771b4d2ae0303e1479b70f4a82fa09757a8c1620b34de4a0b45229038b,a0b2166351ed71c6a414ba8dcd99ca168831d98437d68b94a7647bc533f2fcd3,23260b47bb8989e6d831e09566e9e57ed2126d590b985a46809c9624350d9346,a282431857e558ef8b3d291bc6fda31e8dd7eb1edbe4e0b7211b6a8063aa56c6
exports/G1JoystickFlatTerrain_pathwise_fa_s105_final,G1JoystickFlatTerrain,pathwise,105,0,29,0,103,103,32,0.5,0.00020752238924615085,0.004524787422269583,0.97,0.95,52297728,399,1.0,30.039525985717773,0.0,False,False,True,2457.7595984590007,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/conf/g1_A_s105,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396634,2026-09-01T11:02:55Z,f0a957316086309c0a987991a16630480e5e8e774bfc3489bbbee76563dab699,1a24bd5849c1041c3242b267b0492937134174ac774f085e0ab5f82542012f1d,417f6dd4287243cb2ace9b72a65f1b71654e7bbf6d492a70180d95385791780f,22ee6eb82bbf8073db09a696279dd092b5d31c0fcdd3353106a0536bd9aacc62
exports/G1JoystickFlatTerrain_pathwise_fa_s106_final,G1JoystickFlatTerrain,pathwise,106,0,29,0,103,103,32,0.5,0.00020752238924615085,0.00441582640632987,0.97,0.95,52297728,399,1.0,28.9632568359375,0.0,False,False,True,2456.7022417550033,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/conf/g1_A_s106,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396621,2026-09-01T11:19:32Z,079b8fdf59951396b7cf3864930bf90285c9b1b7e8e37e2d03b8cc3c10bcefcb,b0b51c0a7ebc7aaf96f4c2e5850560b7b3c540b42bd5844c410fa8951590c5be,9ac0d93f58fbcb6266dfccf7ab53717a926642acb5508ca5e7087881c3ebf6d6,5a9675a49cbe0bf22537de2bb12f5810e054efd94d33756a39503e019ea55961
exports/G1JoystickFlatTerrain_pathwise_fa_s107_final,G1JoystickFlatTerrain,pathwise,107,0,29,0,103,103,32,0.5,0.00020752238924615085,0.004208617378026247,0.97,0.95,52297728,399,1.0,32.16105270385742,0.0,False,False,True,2467.1545751090016,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/conf/g1_A_s107,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396626,2026-09-01T11:32:39Z,29180a47738ea03262c6ad9496c7f2d025385b3eade85c56dcf3e79820f402d3,c4c6e929507a1fb1f5ac01dff211d55db2b9b69cbde32c03d1f521b3827770f7,ca8136e8a6d2e7c368ab866bdf3f42fe72533f8566c316c6baed1e25d67fe86d,6dd64b3f3754394ea4e876b082c9f4f20e29530e37d1a4f52679797f5bceb38b
exports/G1JoystickFlatTerrain_pathwise_fa_s108_final,G1JoystickFlatTerrain,pathwise,108,0,29,0,103,103,32,0.5,0.00020752238924615085,0.0041904267854988575,0.97,0.95,52297728,399,1.0,29.26029396057129,0.0,False,False,True,2447.151943221994,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/conf/g1_A_s108,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396624,2026-09-01T11:35:48Z,7b9c0de1eeb912f9352409e9fa301f14396cb400a2d90898297b26b24ebd5c41,509df22f7f6a3dabcc4e43ec0f5f8b557496fb59919bbccd68fd736175f5ec7c,f1e4d7bbb74466e627d3c31b80f80b3815ce9fe72e4a120d52241f35a52d7e10,62ed9545787b5667887a48d5589bf62acc11130671eb938ee257a0508211bce4
exports/G1JoystickFlatTerrain_pathwise_fa_s201_final,G1JoystickFlatTerrain,pathwise,201,0,29,0,103,103,32,0.5,0.00020752238924615085,0.012507792562246323,0.97,0.95,2621440,20,1.0,-2.203486919403076,0.0,False,False,True,788.1124463469896,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/smoke/g1_A_s201,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396106,2026-09-01T09:32:21Z,9183388c4148b6a31932ada5c0540f3b99bf2209e9ff77a0288409924340f43e,9a39aeda8e31e26c48adca8426c882cd5598d35ff32b7e87a11a501c9672a77f,aa1a77ff8e6ea3a283bdc2fc18c1ae2a9cf0066e12a809c3b6d48c989083fcdb,0dae9c1edf0ccacae9dc3d3de704087cd180bdd59b81e7a534707a8cf883dd72
exports/G1JoystickFlatTerrain_pathwise_fa_s301_final,G1JoystickFlatTerrain,pathwise,301,0,29,0,103,103,32,0.5,0.00020752238924615085,0.0043693240731954575,0.97,0.95,52297728,399,1.0,27.264759063720703,0.0,False,False,True,2549.16604340903,/rwthfs/rz/cluster/hpcwork/qzi10910/reppo_runs/outputs/faithful_repair/g1_PW1_s301,actor.npz|critic.npz|meta.json|normalizer.npz,0,19396648,2026-09-02T03:22:15Z,38710c5374100d0153db48b018ed7677e5f134900c064f80640a1e802341c2d7,b234319b3feb01f370ae0601fd0b212dd30015059ea8a1d1fa3023cb5e0c7627,4b17a9d67930ece326b8584766374a99986545f423fded80d9827f68e4998259,0830dc6db9bf10434cd67e0e850727ec70c3145b2a92a4aa75412e7d1c906053
